"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Symbol-Front-Movement";1;"LOGO";;;
2;"U2";"SOICâˆ’8";1;"LM393";;;
3;",,,,,,,,";"buzzardLabel";9;"";;;
4;"C2,C3,C1";"0603C";3;"0.1uF";;;
5;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
6;"K3,K1";"easyC-connector";2;"easyC-SMD";;;
7;"R3,R7,R4,R6";"0603R";4;"10k";;;
8;"R5";"0402R";1;"1k";;;
9;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
10;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
11;"K4";"DSHP03TS-S";1;"DSHP03TS-S";;;
12;"D1";"0402LED";1;"purple";;;
13;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
14;"R1";"tc33x-2-103e";1;"tc33x-2-103e";;;
15;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
16;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
17;"U3";"SOIC-14";1;"ATTINY404-SSNR";;;
18;"R2";"0603R";1;"1k";;;
19;"";"Version1.0.0.";1;"";;;
20;"U1";"TCRT5000L";1;"tcrt5000L";;;
21;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
